time,joint1,joint2,joint3,joint4,joint5,joint6,description
9.480,0.6907,1.6574,-2.0667,0.0000,0.0000,0.0000,Frame 237
9.600,0.5510,1.9249,-2.0420,0.0000,0.0000,0.0000,Frame 240
9.720,0.3527,2.1551,-1.9143,0.0000,0.0000,0.0000,Frame 243
9.840,0.9761,1.9198,-2.2743,0.0000,0.0000,0.0000,Frame 246
9.960,0.7547,1.8174,-2.2718,0.0000,0.0000,0.0000,Frame 249
10.080,0.6651,1.7771,-2.1778,0.0000,0.0000,0.0000,Frame 252
10.200,0.8106,1.7375,-2.1929,0.0000,0.0000,0.0000,Frame 255
10.320,1.0086,1.5117,-2.3280,0.0000,0.0000,0.0000,Frame 258
10.440,1.1422,1.2883,-2.3975,0.0000,0.0000,0.0000,Frame 261
10.560,1.2394,1.2759,-2.5551,0.0000,0.0000,0.0000,Frame 264
10.680,1.2732,1.2157,-2.7177,0.0000,0.0000,0.0000,Frame 267
10.800,1.0785,1.2100,-2.6694,0.0000,0.0000,0.0000,Frame 270
10.920,0.8958,1.4341,-2.6556,0.0000,0.0000,0.0000,Frame 273
11.040,0.7471,1.6639,-2.5528,0.0000,0.0000,0.0000,Frame 276
11.160,0.6717,1.6722,-2.4297,0.0000,0.0000,0.0000,Frame 279
11.280,0.6219,1.6754,-2.3394,0.0000,0.0000,0.0000,Frame 282
11.400,0.5732,1.6725,-2.3758,0.0000,0.0000,0.0000,Frame 285
11.520,0.5690,1.6667,-2.3822,0.0000,0.0000,0.0000,Frame 288
11.640,0.5974,1.6587,-2.4319,0.0000,0.0000,0.0000,Frame 291
11.760,0.6220,1.6533,-2.5060,0.0000,0.0000,0.0000,Frame 294
11.880,0.6195,1.6489,-2.4218,0.0000,0.0000,0.0000,Frame 297
12.000,0.6824,1.6445,-2.3087,0.0000,0.0000,0.0000,Frame 300
12.120,0.6983,1.6435,-2.1906,0.0000,0.0000,0.0000,Frame 303
12.240,0.6889,1.6461,-2.2088,0.0000,0.0000,0.0000,Frame 306
12.360,0.6850,1.6467,-2.2135,0.0000,0.0000,0.0000,Frame 309
12.480,0.7253,1.6455,-2.3208,0.0000,0.0000,0.0000,Frame 312
12.600,0.7626,1.6465,-2.4719,0.0000,0.0000,0.0000,Frame 315
12.720,0.7848,1.6625,-2.5897,0.0000,0.0000,0.0000,Frame 318
12.840,0.8393,1.7216,-2.6280,0.0000,0.0000,0.0000,Frame 321
12.960,0.9974,1.7663,-2.6593,0.0000,0.0000,0.0000,Frame 324
13.080,1.1588,1.8086,-2.6837,0.0000,0.0000,0.0000,Frame 327
13.200,1.2933,1.8647,-2.6764,0.0000,0.0000,0.0000,Frame 330
13.320,1.3297,1.8962,-2.6070,0.0000,0.0000,0.0000,Frame 333
13.440,1.2773,1.6858,-2.4536,0.0000,0.0000,0.0000,Frame 336
13.560,1.1513,1.5630,-2.3239,0.0000,0.0000,0.0000,Frame 339
13.680,1.0090,1.4303,-2.1825,0.0000,0.0000,0.0000,Frame 342
13.800,0.8791,1.1997,-2.1776,0.0000,0.0000,0.0000,Frame 345
13.920,0.9696,1.1556,-2.3087,0.0000,0.0000,0.0000,Frame 348
14.040,1.1280,1.0846,-2.4372,0.0000,0.0000,0.0000,Frame 351
14.160,1.2603,0.9637,-2.5060,0.0000,0.0000,0.0000,Frame 354
14.280,1.4042,0.8430,-2.6320,0.0000,0.0000,0.0000,Frame 357
