time,joint1,joint2,joint3,joint4,joint5,joint6,description
26.215,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 88
26.255,-0.166,0.480,-0.100,0.000,0.000,0.000,Frame 89
26.295,-0.180,0.480,-0.100,0.000,0.000,0.000,Frame 90
26.335,-0.190,0.480,-0.100,0.000,0.000,0.000,Frame 91
26.375,-0.200,0.480,-0.100,0.000,0.000,0.000,Frame 92
26.415,-0.208,0.480,-0.100,0.000,0.000,0.000,Frame 93
26.455,-0.212,0.480,-0.100,0.000,0.000,0.000,Frame 94
26.495,-0.216,0.480,-0.100,0.000,0.000,0.000,Frame 95
26.535,-0.218,0.480,-0.100,0.000,0.000,0.000,Frame 96
26.575,-0.220,0.480,-0.100,0.000,0.000,0.000,Frame 97
26.615,-0.221,0.480,-0.100,0.000,0.000,0.000,Frame 98
26.655,-0.222,0.480,-0.100,0.000,0.000,0.000,Frame 99
26.695,-0.224,0.480,-0.100,0.000,0.000,0.000,Frame 100
26.735,-0.225,0.480,-0.100,0.000,0.000,0.000,Frame 101
26.776,-0.225,0.480,-0.100,0.000,0.000,0.000,Frame 102
26.816,-0.226,0.480,-0.100,0.000,0.000,0.000,Frame 103
26.856,-0.228,0.480,-0.100,0.000,0.000,0.000,Frame 104
26.896,-0.228,0.480,-0.100,0.000,0.000,0.000,Frame 105
26.936,-0.229,0.480,-0.100,0.000,0.000,0.000,Frame 106
26.976,-0.232,0.480,-0.100,0.000,0.000,0.000,Frame 107
27.016,-0.234,0.480,-0.100,0.000,0.000,0.000,Frame 108
27.056,-0.236,0.480,-0.100,0.000,0.000,0.000,Frame 109
27.096,-0.237,0.480,-0.100,0.000,0.000,0.000,Frame 110
27.136,-0.239,0.480,-0.100,0.000,0.000,0.000,Frame 111
27.176,-0.240,0.480,-0.100,0.000,0.000,0.000,Frame 112
27.216,-0.238,0.480,-0.100,0.000,0.000,0.000,Frame 113
27.256,-0.235,0.480,-0.100,0.000,0.000,0.000,Frame 114
27.296,-0.233,0.480,-0.100,0.000,0.000,0.000,Frame 115
27.336,-0.233,0.480,-0.100,0.000,0.000,0.000,Frame 116
27.376,-0.235,0.480,-0.100,0.000,0.000,0.000,Frame 117
27.416,-0.239,0.480,-0.100,0.000,0.000,0.000,Frame 118
27.456,-0.238,0.480,-0.100,0.000,0.000,0.000,Frame 119
27.496,-0.236,0.480,-0.100,0.000,0.000,0.000,Frame 120
27.536,-0.229,0.480,-0.100,0.000,0.000,0.000,Frame 121
27.576,-0.222,0.480,-0.100,0.000,0.000,0.000,Frame 122
27.616,-0.215,0.480,-0.100,0.000,0.000,0.000,Frame 123
27.656,-0.205,0.480,-0.100,0.000,0.000,0.000,Frame 124
27.696,-0.198,0.480,-0.100,0.000,0.000,0.000,Frame 125
27.736,-0.192,0.480,-0.100,0.000,0.000,0.000,Frame 126
27.776,-0.186,0.480,-0.100,0.000,0.000,0.000,Frame 127
27.816,-0.181,0.480,-0.100,0.000,0.000,0.000,Frame 128
27.856,-0.176,0.480,-0.100,0.000,0.000,0.000,Frame 129
