time,joint1,joint2,joint3,joint4,joint5,joint6,description
39.0,-0.3,1.63,-0.6,0.0,0.0,0.0,Routine 3 - Circle left
39.5,-0.5,1.7,-0.55,0.0,0.0,0.0,Routine 3 - Circle
40.0,-0.6,1.85,-0.5,0.0,0.0,0.0,Routine 3 - Circle
40.5,-0.7,2.0,-0.4,0.0,0.0,0.0,Routine 3 - Circle
41.0,-0.7,2.2,-0.35,0.0,0.0,0.0,Routine 3 - Circle
41.5,-0.7,2.4,-0.3,0.0,0.0,0.0,Routine 3 - Circle
42.0,-0.6,2.6,-0.25,0.0,0.0,0.0,Routine 3 - Circle
42.5,-0.5,2.8,-0.2,0.0,0.0,0.0,Routine 3 - Circle
43.0,-0.3,3.0,-0.15,0.0,0.0,0.0,Routine 3 - Circle
43.5,0.0,3.0,-0.15,0.0,0.0,0.0,Routine 3 - Circle center
44.0,0.3,3.0,-0.15,0.0,0.0,0.0,Routine 3 - Circle
44.5,0.5,2.8,-0.2,0.0,0.0,0.0,Routine 3 - Circle
45.0,0.6,2.6,-0.25,0.0,0.0,0.0,Routine 3 - Circle
45.5,0.7,2.4,-0.3,0.0,0.0,0.0,Routine 3 - Circle
46.0,0.7,2.2,-0.35,0.0,0.0,0.0,Routine 3 - Circle
46.5,0.7,2.0,-0.4,0.0,0.0,0.0,Routine 3 - Circle
47.0,0.6,1.85,-0.5,0.0,0.0,0.0,Routine 3 - Circle
47.5,0.5,1.7,-0.55,0.0,0.0,0.0,Routine 3 - Circle
48.0,0.3,1.63,-0.6,0.0,0.0,0.0,Routine 3 - Circle
48.5,0.0,1.63,-0.6,0.0,0.0,0.0,Routine 3 - Circle complete
49.0,0.0,1.7,-0.55,0.0,0.0,0.0,Routine 3 - Down
49.5,0.0,1.85,-0.5,0.0,0.0,0.0,Routine 3 - Down
50.0,0.0,2.0,-0.4,0.0,0.0,0.0,Routine 3 - Down
50.5,0.0,2.2,-0.35,0.0,0.0,0.0,Routine 3 - Down
51.0,0.0,2.4,-0.3,0.0,0.0,0.0,Routine 3 - Down
51.5,0.0,2.6,-0.25,0.0,0.0,0.0,Routine 3 - Down
52.0,0.0,2.8,-0.2,0.0,0.0,0.0,Routine 3 - Down
52.5,0.0,3.0,-0.15,0.0,0.0,0.0,Routine 3 - Down
53.0,0.0,3.1,-0.1,0.0,0.0,0.0,Routine 3 - Down
53.5,0.0,3.15,-0.05,0.0,0.0,0.0,Routine 3 - Down
54.0,0.0,3.2,0.0,0.0,0.0,0.0,Routine 3 - Home
54.5,-0.2,3.2,0.0,0.05,0.0,0.0,Routine 4 - Figure 8 start
55.0,-0.3,3.0,-0.1,0.1,0.0,0.0,Routine 4 - Figure 8
55.5,-0.4,2.6,-0.2,0.15,0.0,0.0,Routine 4 - Figure 8
56.0,-0.5,2.2,-0.3,0.2,0.0,0.0,Routine 4 - Figure 8
56.5,-0.5,1.9,-0.45,0.25,0.0,0.0,Routine 4 - Figure 8 peak
57.0,-0.4,1.8,-0.5,0.2,0.0,0.0,Routine 4 - Figure 8
57.5,-0.3,1.9,-0.45,0.15,0.0,0.0,Routine 4 - Figure 8
58.0,-0.2,2.2,-0.3,0.1,0.0,0.0,Routine 4 - Figure 8
58.5,0.0,2.4,-0.25,0.05,0.0,0.0,Routine 4 - Figure 8 center
59.0,0.2,2.2,-0.3,-0.1,0.0,0.0,Routine 4 - Figure 8
59.5,0.3,1.9,-0.45,-0.15,0.0,0.0,Routine 4 - Figure 8
